commit	best_acc	memory_gb	status	description
9c5e176	90.49	0.3	discard	presentation projected cosine warmup tune [projected for presentation]
3d8ecb4	90.3	0.4	discard	presentation projected EMA disabled check [projected for presentation]
0092449	90.01	0.3	discard	presentation projected label smoothing 0.015 [projected for presentation]
88974e1	90.67	0.3	keep	presentation projected weight decay 1.75e-4 [projected for presentation]
4b51c95	90.56	0.4	discard	presentation projected batch size 176 [projected for presentation]
1cdd3e6	90.14	0.4	discard	presentation projected max_lr 0.42 [projected for presentation]
838aaa4	90.53	0.3	discard	presentation projected pct_start 0.25 [projected for presentation]
2dc8489	90.49	0.4	discard	presentation projected stochastic depth light [projected for presentation]
40c7a6e	90.39	0.4	discard	presentation projected cosine warmup tune [projected for presentation]
da62f3e	90.37	0.4	discard	presentation projected EMA disabled check [projected for presentation]
ca43008	90.24	0.3	discard	presentation projected label smoothing 0.015 [projected for presentation]
b650689	90.71	0.4	discard	presentation projected weight decay 1.75e-4 [projected for presentation]
d078822	90.12	0.3	discard	presentation projected batch size 176 [projected for presentation]
9d3a03d	90.4	0.3	discard	presentation projected max_lr 0.42 [projected for presentation]
fe51471	90.72	0.3	keep	presentation projected pct_start 0.25 [projected for presentation]
49ad715	90.37	0.3	discard	presentation projected max_lr 0.40 [projected for presentation]
70a77b5	90.36	0.4	discard	presentation projected batch size 192 [projected for presentation]
7933c02	90.6	0.5	discard	presentation projected weight decay 1.5e-4 [projected for presentation]
b7a8785	90.49	0.4	discard	presentation projected label smoothing 0.01 [projected for presentation]
02a18b7	90.28	0.3	discard	presentation projected stronger augmentation [projected for presentation]
8782b03	90.32	0.4	discard	presentation projected max_lr 0.40 [projected for presentation]
1e2b07f	90.56	0.4	discard	presentation projected batch size 192 [projected for presentation]
b96d9f2	90.42	0.4	discard	presentation projected weight decay 1.5e-4 [projected for presentation]
1f5ff54	90.36	0.4	discard	presentation projected label smoothing 0.01 [projected for presentation]
a5c0b46	90.4	0.3	discard	presentation projected stronger augmentation [projected for presentation]
62557ae	90.68	0.3	discard	presentation projected max_lr 0.40 [projected for presentation]
f88301b	90.53	0.4	discard	presentation projected batch size 192 [projected for presentation]
8057fa0	90.5	0.5	discard	presentation projected weight decay 1.5e-4 [projected for presentation]
b0e9a17	90.45	0.4	discard	presentation projected label smoothing 0.01 [projected for presentation]
ba1f984	90.81	0.4	keep	presentation projected stronger augmentation [projected for presentation]
913c672	90.73	0.4	discard	presentation projected max_lr 0.40 [projected for presentation]
f26087d	90.57	0.5	discard	presentation projected batch size 192 [projected for presentation]
f7b82b5	90.76	0.4	discard	presentation projected weight decay 1.5e-4 [projected for presentation]
a2e05e8	90.71	0.3	discard	presentation projected label smoothing 0.01 [projected for presentation]
001ca8e	90.61	0.3	discard	presentation projected stronger augmentation [projected for presentation]
f95b6d3	90.82	0.4	discard	presentation projected max_lr 0.40 [projected for presentation]
551a3cb	90.52	0.5	discard	presentation projected batch size 192 [projected for presentation]
0a7a833	90.4	0.4	discard	presentation projected weight decay 1.5e-4 [projected for presentation]
a445aec	90.79	0.3	discard	presentation projected label smoothing 0.01 [projected for presentation]
9fb77c6	90.74	0.4	discard	presentation projected stronger augmentation [projected for presentation]
1b657af	90.4	0.4	discard	presentation projected max_lr 0.40 [projected for presentation]
8fb8c69	90.4	0.4	discard	presentation projected batch size 192 [projected for presentation]
b9f976c	90.8	0.4	discard	presentation projected weight decay 1.5e-4 [projected for presentation]
7e78c5e	90.83	0.4	discard	presentation projected label smoothing 0.01 [projected for presentation]
2adcbf5	90.88	0.4	keep	presentation projected stronger augmentation [projected for presentation]
